frame,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_THUMB_TIP_x,RIGHT_THUMB_TIP_y,RIGHT_THUMB_TIP_z,RIGHT_INDEX_FINGER_TIP_x,RIGHT_INDEX_FINGER_TIP_y,RIGHT_INDEX_FINGER_TIP_z,LEFT_THUMB_TIP_x,LEFT_THUMB_TIP_y,LEFT_THUMB_TIP_z,LEFT_INDEX_FINGER_TIP_x,LEFT_INDEX_FINGER_TIP_y,LEFT_INDEX_FINGER_TIP_z
0,0.14,-0.4657,0.0185,-0.13,-0.4748,-0.145,0.1305,-0.225,0.0139,0.0083,-0.2592,-0.1711,0.1805,-0.0532,-0.1044,0.2587,-0.1693,-0.1882,0.0331,0.7313,0.1965,-0.051,0.711,0.2009,0.8164,0.3849,-0.0022,0.8623,0.4025,-0.0193,0.6569,0.5494,-0.0209,0.661,0.5619,-0.0156
1,0.1402,-0.4659,0.0193,-0.1297,-0.4749,-0.1396,0.1303,-0.2253,0.0137,0.005,-0.2592,-0.1745,0.1792,-0.0563,-0.1044,0.2514,-0.1697,-0.2067,0.0362,0.7256,0.217,-0.0649,0.6978,0.2276,0.8203,0.3857,0.0021,0.8634,0.4056,-0.013,0.6576,0.5495,-0.0207,0.661,0.5615,-0.0147
2,0.1405,-0.4659,0.0188,-0.1298,-0.4749,-0.1388,0.1305,-0.2254,0.0059,0.0019,-0.2592,-0.1808,0.1767,-0.0573,-0.1151,0.2444,-0.1706,-0.2203,0.038,0.722,0.2223,-0.073,0.6917,0.233,0.8258,0.3949,0.0057,0.8569,0.4082,-0.0057,0.658,0.5495,-0.0203,0.6615,0.5615,-0.0135
3,0.1422,-0.466,0.0189,-0.1297,-0.475,-0.1368,0.1305,-0.2254,0.0001,-0.0009,-0.2593,-0.1823,0.1703,-0.0573,-0.1265,0.2382,-0.1706,-0.2225,0.0393,0.7204,0.2204,-0.0748,0.6894,0.2314,0.8286,0.3999,0.0051,0.8338,0.4097,-0.0044,0.6588,0.5494,-0.0204,0.6617,0.5613,-0.0142
4,0.1441,-0.4662,0.0148,-0.1295,-0.4743,-0.1392,0.1324,-0.2256,-0.0001,-0.0015,-0.2577,-0.1858,0.1668,-0.0563,-0.1259,0.235,-0.17,-0.2266,0.0403,0.7206,0.219,-0.0759,0.6904,0.2295,0.8308,0.3983,0.0013,0.8133,0.3996,-0.0069,0.659,0.5497,-0.0206,0.6626,0.5618,-0.0136
5,0.1464,-0.4672,0.0169,-0.1295,-0.4746,-0.1327,0.1351,-0.227,-0.0015,-0.0043,-0.2578,-0.184,0.1651,-0.0575,-0.1304,0.2287,-0.1706,-0.2242,0.0426,0.7181,0.2181,-0.0757,0.6885,0.2286,0.8322,0.3985,-0.0009,0.8104,0.3996,-0.0065,0.6594,0.5496,-0.0224,0.6627,0.562,-0.0158
6,0.1481,-0.4674,0.0174,-0.1292,-0.4746,-0.1328,0.1366,-0.2275,-0.0021,-0.0051,-0.2578,-0.1849,0.1635,-0.0576,-0.1299,0.2281,-0.1712,-0.2273,0.045,0.7171,0.2175,-0.075,0.6877,0.2277,0.8329,0.3998,-0.0019,0.8073,0.4009,-0.0074,0.6598,0.5499,-0.0227,0.6638,0.5621,-0.0153
7,0.1511,-0.4674,0.0171,-0.1289,-0.4746,-0.1326,0.1408,-0.2276,-0.0066,-0.0054,-0.2577,-0.1843,0.1638,-0.0579,-0.138,0.2269,-0.1712,-0.2259,0.0469,0.7154,0.2172,-0.0745,0.6874,0.2271,0.8335,0.4009,-0.0038,0.8053,0.4018,-0.0085,0.6603,0.55,-0.0212,0.664,0.5624,-0.0133
8,0.151,-0.4677,0.0178,-0.128,-0.4747,-0.1328,0.1402,-0.2277,0.0014,-0.0053,-0.2571,-0.1841,0.1636,-0.0567,-0.1182,0.2276,-0.1684,-0.2248,0.0483,0.7152,0.2164,-0.0742,0.6878,0.2242,0.8312,0.4033,-0.0047,0.8042,0.4041,-0.008,0.6601,0.5501,-0.0218,0.664,0.5625,-0.0133
9,0.1508,-0.4679,0.0181,-0.1274,-0.4741,-0.1343,0.1379,-0.228,0.0025,-0.0049,-0.2558,-0.1855,0.1608,-0.0566,-0.1159,0.2282,-0.1675,-0.2251,0.0482,0.7141,0.2161,-0.0739,0.688,0.2211,0.8276,0.4064,-0.0038,0.8025,0.4067,-0.0065,0.6603,0.55,-0.0214,0.6645,0.5625,-0.0135
